monitorId,attribute1,attribute2,attribute3,attribute4,time
org.zend.viewsUsageMonitor,activated,org.eclipse.debug.ui.PHPDebugOutput,org.eclipse.php.perspective,"view",1420690265682
org.zend.viewsUsageMonitor,activated,org.eclipse.ui.console.ConsoleView,org.eclipse.php.perspective,"view",1420690298240
org.zend.viewsUsageMonitor,activated,org.eclipse.rse.ui.view.systemView,org.eclipse.php.perspective,"view",1420690300684
org.zend.viewsUsageMonitor,activated,org.eclipse.ui.views.ProblemView,org.eclipse.php.perspective,"view",1420690301519
org.zend.viewsUsageMonitor,activated,org.eclipse.ui.console.ConsoleView,org.eclipse.php.perspective,"view",1420690302890
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.selectAll",1420690577864
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.paste",1420690580239
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.save",1420690585529
org.zend.viewsUsageMonitor,activated,org.eclipse.debug.ui.PHPDebugOutput,org.eclipse.php.perspective,"view",1420690595400
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.help.helpContents",1420690732206
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.project.properties",1420690834701
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.properties",1420690857487
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.window.preferences",1420690942513
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.selectAll",1420691259985
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.selectAll",1420691269992
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.paste",1420691270998
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1420691402553
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.delete",1420691402553
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.copy",1420691707912
org.zend.viewsUsageMonitor,activated,org.eclipse.ui.console.ConsoleView,org.eclipse.php.perspective,"view",1420692785936
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.selectAll",1420692835178
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.paste",1420692835960
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.save",1420692839128
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"com.zend.php.profile.ui.actions.ProfileURL",1420693185856
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1420693272504
org.zend.contentAssistMonitor,echo,false,echo,"1158",1420694109614
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.save",1420694117656
org.zend.viewsUsageMonitor,activated,org.eclipse.debug.ui.PHPDebugOutput,org.eclipse.php.perspective,"view",1420694125119
org.zend.viewsUsageMonitor,activated,org.eclipse.ui.views.PropertySheet,org.eclipse.php.perspective,"view",1420694197640
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1420694205441
org.zend.viewsUsageMonitor,activated,org.eclipse.debug.ui.PHPDebugOutput,org.eclipse.php.perspective,"view",1420694205493
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.copy",1420694285266
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.paste",1420694288967
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1420695808722
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1420696074495
org.zend.viewsUsageMonitor,activated,org.eclipse.help.ui.HelpView,org.eclipse.php.perspective,"view",1420696395803
org.zend.contentAssistMonitor,echo,false,ec,"1921",1420712103965
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.save",1420712110709
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.text.openLocalFile",1420719292207
